Title,Year,Cited by,Link,Abstract,Latin Ratio
The practical use of Kit-Build concept map on formative assessment,2017,37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056457565&doi=10.1186%2fs41039-017-0060-x&partnerID=40&md5=97b830232a548a9bb370061a6219da19,"Formative assessment can encourage an instructor to improve learning achievements in a lecture class. The goal of formative assessment in a classroom situation is monitoring learners to provide instructor’s feedback for improving learner’s understanding as well as instructor’s expectation. A Kit-Build concept map is a digital tool for supporting a concept map strategy to represent instructor’s expectation and to assess the current understanding of learners. The Kit-Build concept map is also adequate for implementing the formative assessment in a lecture class. The proposition level exact matching between the concept map of instructor and learners can generate the diagnosis results for informing the instructor about the gaps between current learner’s understanding and the instructor’s expectation. Accordingly, the instructor can design the feedback based on the diagnosis results for improving the understanding of learners. In this paper, we propose the arrangement of the ability of the Kit-Build concept map on formative assessment in a lecture class for creating an opportunity to assess current understanding of learners as more as possible. And we present the effectiveness of the Kit-Build concept map on the closed-end approach in elementary school through three practical uses in various lecture classes, which illustrate the contribution of the Kit-Build concept map when utilized on formative assessment in the lecture class. © 2017, The Author(s).",0.4413145539906103
Industrial–educational collaboration case study for fur design education,2017,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034438184&doi=10.1186%2fs40691-017-0096-y&partnerID=40&md5=f10bbb4ea089916e816284dd570642a7,"This paper is a case study on industrial–educational collaboration program between KF and SNU for fur design education. Industrial-educational collaboration program was done by Royal Danish Embassy in South Korea in commemoration of the 55th anniversary of both nations’ diplomatic ties. Major tasks of industrial–educational collaboration are as follows. For 3 years from 2014 to 2016, fur design education workshops and fashion shows were held in Seoul of South Korea and Copenhagen of Denmark under mutual cooperation. The goal of a workshop was development of various and creative fur designs along with popularization of fur industry. It has significance in that it contributed to the development of fur industry through creative fur design education for superior students of the world and provided them with opportunities to expand a scope of design through experiencing materials. Future fur industry and global fashion design are expected to develop with much interest and participation through such a successful industrial–educational collaboration program. © 2017, The Author(s).",0.4551282051282051
Bayesian Sensitivity Analysis of a Nonlinear Dynamic Factor Analysis Model with Nonparametric Prior and Possible Nonignorable Missingness,2017,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031431399&doi=10.1007%2fs11336-017-9587-4&partnerID=40&md5=dcc3569789c70578ce235c07e1c071e0,"Many psychological concepts are unobserved and usually represented as latent factors apprehended through multiple observed indicators. When multiple-subject multivariate time series data are available, dynamic factor analysis models with random effects offer one way of modeling patterns of within- and between-person variations by combining factor analysis and time series analysis at the factor level. Using the Dirichlet process (DP) as a nonparametric prior for individual-specific time series parameters further allows the distributional forms of these parameters to deviate from commonly imposed (e.g., normal or other symmetric) functional forms, arising as a result of these parameters’ restricted ranges. Given the complexity of such models, a thorough sensitivity analysis is critical but computationally prohibitive. We propose a Bayesian local influence method that allows for simultaneous sensitivity analysis of multiple modeling components within a single fitting of the model of choice. Five illustrations and an empirical example are provided to demonstrate the utility of the proposed approach in facilitating the detection of outlying cases and common sources of misspecification in dynamic factor analysis models, as well as identification of modeling components that are sensitive to changes in the DP prior specification. © 2017, The Psychometric Society.",0.5287958115183246
The effect of migration on social capital and depression among older adults in China,2017,51,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029538649&doi=10.1007%2fs00127-017-1439-0&partnerID=40&md5=6831b7021596b0b255c326f63d0585bd,"Purpose: An estimated 9 million elderly people accompanied their adult children to urban areas in China, raising concerns about their social capital and mental health following re-location. The aim of this study was to examine the effect of migration on social capital and depression among this population. Methods: Multistage stratified cluster sampling was applied to recruit the migrant and urban elderly in Hangzhou from May to August, 2013. Data were collected from face-to-face interviews by trained college students using a standardized questionnaire. Social capital measurements included cognitive (generalized trust and reciprocity) and structure (support from individual and social contact) aspects. Depression was measured by Geriatric Depression Scale-30 (GDS-30). Chi-square tests and binary logistic regression models were used for analysis. Results: A total of 1248 migrant elderly and 1322 urban elderly were eligible for analysis. After adjusting for a range of confounder factors, binary logistic regression models revealed that migrant elderly reported significantly lower levels of generalized trust [OR = 1.34, 95% CI (1.10–1.64)], reciprocity [OR = 1.55, 95% CI (1.29–1.87)], support from individual [OR = 1.96, 95% CI (1.61–2.38)] and social contact [OR = 3.27, 95% CI (2.70–3.97)]. In the full adjusted model, migrant elderly were more likely to be mentally unhealthy [OR = 1.85, 95% CI (1.44–2.36)] compared with urban elderly. Conclusions: Migrant elderly suffered from a lower mental health status and social capital than their urban counterparts in the emigrating city. Attention should focus on improving the social capital and mental health of this growing population. © 2017, The Author(s).",0.5176991150442478
Electroconvulsive therapy selectively enhanced feedforward connectivity from fusiform face area to amygdala in major depressive disorder,2017,81,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041675821&doi=10.1093%2fscan%2fnsx100&partnerID=40&md5=25c39a1ede8233dd7513afbc9cdcd0ec,"Electroconvulsive therapy (ECT) has been widely used to treat the major depressive disorder (MDD), especially for treatment-resistant depression. However, the neuroanatomical basis of ECT remains an open problem. In our study, we combined the voxel-based morphology (VBM), resting-state functional connectivity (RSFC) and granger causality analysis (GCA) to identify the longitudinal changes of structure and function in 23 MDD patients before and after ECT. In addition, multivariate pattern analysis using linear support vector machine (SVM) was applied to classify 23 depressed patients from 25 gender, age and education matched healthy controls. VBM analysis revealed the increased gray matter volume of left superficial amygdala after ECT. The following RSFC and GCA analyses further identified the enhanced functional connectivity between left amygdala and left fusiform face area (FFA) and effective connectivity from FFA to amygdala after ECT, respectively. Moreover, SVM-based classification achieved an accuracy of 83.33%, a sensitivity of 82.61% and a specificity of 84% by leave-one-out cross-validation. Our findings indicated that ECT may facilitate the neurogenesis of amygdala and selectively enhance the feedforward cortical-subcortical connectivity from FFA to amygdala. This study may shed new light on the pathological mechanism of MDD and may provide the neuroanatomical basis for ECT. © The Author (2017). Published by Oxford University Press.",0.4797979797979798
Comparison of brain connectivity between Internet gambling disorder and Internet gaming disorder: A preliminary study,2017,22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039761676&doi=10.1556%2f2006.6.2017.061&partnerID=40&md5=90f8bfbd8cf331efdfe9d7b8c2b15dd8,"Background and aims: Given the similarities in clinical symptoms, Internet gaming disorder (IGD) is thought to be diagnostically similar to Internet-based gambling disorder (ibGD). However, cognitive enhancement and educational use of Internet gaming suggest that the two disorders derive from different neurobiological mechanisms. The goal of this study was to compare subjects with ibGD to those with IGD. Methods: Fifteen patients with IGD, 14 patients with ibGD, and 15 healthy control subjects were included in this study. Resting-state functional magnetic resonance imaging data for all participants were acquired using a 3.0 Tesla MRI scanner (Philips, Eindhoven, The Netherlands). Seed-based analyses, the three brain networks of default mode, cognitive control, and reward circuitry, were performed. Results: Both IGD and ibGD groups demonstrated decreased functional connectivity (FC) within the default-mode network (DMN) (family-wise error p < .001) compared with healthy control subjects. However, the IGD group demonstrated increased FC within the cognitive network compared with both the ibGD (p < .01) and healthy control groups (p < .01). In contrast, the ibGD group demonstrated increased FC within the reward circuitry compared with both IGD (p < .01) and healthy control subjects (p < .01). Discussion and conclusions: The IGD and ibGD groups shared the characteristic of decreased FC in the DMN. However, the IGD group demonstrated increased FC within the cognitive network compared with both ibGD and healthy comparison groups. © 2017 The Author(s).",0.3778801843317972
Altered sulcogyral patterns of orbitofrontal cortex in a large cohort of patients with schizophrenia,2017,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026239839&doi=10.1038%2fs41537-016-0008-y&partnerID=40&md5=b1ececd031b358347b60ec61676467d4,"Abnormalities in prenatal brain development contribute to schizophrenia vulnerability. Orbitofrontal cortex sulcogyral patterns are largely determined during prenatal development, and four types of orbitofrontal cortex sulcogyral patterns have been classified in humans. Altered orbitofrontal cortex patterns have been reported in individuals with schizophrenia using magnetic resonance imaging; however, sample sizes of previous studies were small-medium effects for detection, and gender manifestation for orbitofrontal cortex sulcogyral patterns is unclear. The present study investigated orbitofrontal cortex patterns of 155 patients with schizophrenia and 375 healthy subjects. The orbitofrontal cortex sulcogyral pattern distributions of schizophrenia were significantly different compared with healthy subjects in the left hemisphere (X2 = 14.55, p = 0.002). In female schizophrenia, post-hoc analyses revealed significantly decreased Type I expression (X2 = 6.76, p = 0.009) and increased Type II expression (X2 = 11.56, p = 0.001) in the left hemisphere. The present study suggested that female schizophrenia showed altered orbitofrontal cortex patterns in the left hemisphere, which may be related to neurodevelopmental abnormality. © The Author(s) 2017.",0.47368421052631576
Classroom practice for understanding pointers using learning support system for visualizing memory image and target domain world,2017,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060064478&doi=10.1186%2fs41039-017-0058-4&partnerID=40&md5=2b0fa73fa0bb6028849aab195cbd592b,"Pointers are difficult learning targets for novice learners of C programming. For such difficult targets, introducing a system visualizing program behaviors is generally expected to support learners to understand the targets. However, visualization in existing systems often conceals the concrete value of variables such as pointers; the way in which each visualized object is located on the memory is not made explicit. In order to address this issue, we focused on a program visualization system called TEDViT. It visualizes simultaneously and synchronously the memory image that is the field that presents the concrete value of variables and the target domain world that is the field that presents logically the data structures processed by the program. We consider that observing and comparing program code, memory image, and target domain world with TEDViT could work for understanding pointers. TEDViT visualizes the status of the target domain world according to the visualization policy defined by the teacher in order to allow teachers to set their instruction content based on the growing variety of learner background knowledge. We also consider that this feature could support teachers’ instructions and class managements appropriately, and improving teachers’ performance by TEDViT’s support would bring improvement of learners’ understanding. We conducted classroom practice for understanding pointers in connection with a memory model, thus introducing TEDViT to a real class. Analysis of answered scores in a questionnaire conducted after the practice suggests that our practice using TEDViT provided useful supports for participants to understand pointers. It also suggests our practice had a certain effect to reduce uneven levels of understanding among participants. Based on these results, we describe that classroom practices in our framework could support learners to understand pointers and support teachers to manage the class. © 2017, The Author(s).",0.4083044982698962
Do children with better inhibitory control donate more? Differentiating between early and middle childhood and cool and hot inhibitory control,2017,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037741886&doi=10.3389%2ffpsyg.2017.02182&partnerID=40&md5=eeff822b77543d0d096886f5c8ff97fc,"Inhibitory control may play an important part in prosocial behavior, such as donating behavior. However, it is not clear at what developmental stage inhibitory control becomes associated with donating behavior and which aspects of inhibitory control are related to donating behavior during development in early to middle childhood. The present study aimed to clarify these issues with two experiments. In Experiment 1, 103 3- to 5-year-old preschoolers completed cool (Stroop-like) and hot (delay of gratification) inhibitory control tasks and a donating task. The results indicated that there were no relationships between cool or hot inhibitory control and donating behavior in the whole group and each age group of the preschoolers. In Experiment 2, 140 elementary school children in Grades 2, 4, and 6 completed cool (Stroop-like) and hot (delay of gratification) inhibitory control tasks and a donating task. The results showed that inhibitory control was positively associated with donating behavior in the whole group. Cool and hot inhibitory control respectively predicted donating behavior in the second and sixth graders. Therefore, the present study reveals that donating behavior increasingly relies on specific inhibitory control, i.e., hot inhibitory control as children grow in middle childhood. © 2017 Hao.",0.44086021505376344
Associations between functional connectivity dynamics and BOLD dynamics are heterogeneous across brain networks,2017,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041049860&doi=10.3389%2ffnhum.2017.00593&partnerID=40&md5=846c960e6a9c9fd32d1795c5d932f60f,"Functional brain imaging has revealed two types of dynamic patterns of brain in the resting-state: the dynamics of spontaneous brain activities and the dynamics of functional interconnections between spontaneous brain activities. Although these two types of brain dynamics are usually investigated separately in the literature, recent functional magnetic resonance imaging (fMRI) studies have shown that they exhibit similar spatial patterns, suggesting the dynamics of spontaneous brain activities and the dynamics of their interconnections are associated with each other. In this study, we characterized the local blood oxygenation level dependent (BOLD) dynamics and the functional connectivity dynamics (FCD) in the resting-state, and then investigated their between-region associations. Time-varying FC was estimated as time-varying correlation coefficients using a sliding-window method, and the temporal variability of BOLD and time-varying FC were used to quantify the BOLD dynamics and the FCD, respectively. Our results showed that the BOLD dynamics and the FCD exhibit similar spatial patterns, and they are significantly associated across brain regions. Importantly, such associations are opposite for different types of FC (e.g., within-network FCD are negatively correlated with the BOLD dynamics but the between-network FCD are positively correlated with the BOLD dynamics), and they are spatially heterogeneous across brain networks. The identified heterogeneous associations between the BOLD dynamics and the FCD appear to convey related or even distinct information and might underscore the potential mechanism of brain coordination and co-evolution. © 2017 Fu, Tu, Di, Biswal, Calhoun and Zhang.",0.4406779661016949
